region,province,city,position,district,candidate_name,party,votes,rank,raw_position
CORDILLERA ADMINISTRATIVE REGION,ABRA,DOLORES,MAYOR,,"GUZMAN, CORRIT",AKSYON,3607,1,MAYOR ABRA - DOLORES
CORDILLERA ADMINISTRATIVE REGION,ABRA,LA PAZ,MAYOR,,"BERNOS, JB",NP,10490,1,MAYOR ABRA - LA PAZ
CORDILLERA ADMINISTRATIVE REGION,ABRA,LACUB,MAYOR,,"BAROÑA, FETAD",PFP,1161,1,MAYOR ABRA - LACUB
CORDILLERA ADMINISTRATIVE REGION,ABRA,LAGANGILANG,MAYOR,,"VIERNES, ANTONIO",PFP,1883,1,MAYOR ABRA - LAGANGILANG
CORDILLERA ADMINISTRATIVE REGION,ABRA,LAGAYAN,MAYOR,,"CRISOLOGO, EDMARC",ASENSO,2686,1,MAYOR ABRA - LAGAYAN
CORDILLERA ADMINISTRATIVE REGION,ABRA,LANGIDEN,MAYOR,,"PALECPEC, SECEL",ASENSO,2237,1,MAYOR ABRA - LANGIDEN
CORDILLERA ADMINISTRATIVE REGION,ABRA,LICUAN-BAAY,MAYOR,,"DOMINGO, DARWIN",ASENSO,2608,1,MAYOR ABRA - LICUAN-BAAY
CORDILLERA ADMINISTRATIVE REGION,ABRA,LUBA,MAYOR,,"BISCARRA, SALING",ASENSO,3335,1,MAYOR ABRA - LUBA
CORDILLERA ADMINISTRATIVE REGION,ABRA,MALIBCONG,MAYOR,,"BACUYAG, RHEA",NP,2269,1,MAYOR ABRA - MALIBCONG
CORDILLERA ADMINISTRATIVE REGION,ABRA,MANABO,MAYOR,,"DOMASING, DARREL",ASENSO,4393,1,MAYOR ABRA - MANABO
CORDILLERA ADMINISTRATIVE REGION,ABRA,PEÑARRUBIA,MAYOR,,"CECILIA, JANE",ASENSO,3007,1,MAYOR ABRA - PEÑARRUBIA
CORDILLERA ADMINISTRATIVE REGION,ABRA,PIDIGAN,MAYOR,,"BARBER, JOSEPH",IND,98,1,MAYOR ABRA - PIDIGAN
CORDILLERA ADMINISTRATIVE REGION,ABRA,PILAR,MAYOR,,"BEROÑA, TYRON",NP,6210,1,MAYOR ABRA - PILAR
CORDILLERA ADMINISTRATIVE REGION,ABRA,SALLAPADAN,MAYOR,,"CARDENAS, GARDE",ASENSO,2084,1,MAYOR ABRA - SALLAPADAN
