province,city,position,district,candidate_name,party,votes,rank
ALBAY,CITY OF LEGAZPI,MAYOR,,"GUTIERREZ, LUIS",LAKAS,70356,123562
ALBAY,CITY OF LIGAO,MAYOR,,"GONZALEZ, FERNANDO",NUP,40058,125417
ALBAY,CITY OF TABACO,MAYOR,,"BONGAO, ATE GLENDA",LP,37183,123830
ALBAY,DARAGA,MAYOR,,"PERETE, VIC",PDPLBN,40578,127505
ALBAY,GUINOBATAN,MAYOR,,"RIVERA, DOC BUTCH",NUP,32735,125686
ALBAY,JOVELLAR,MAYOR,,"ARELLANO, NONG",NUP,7042,127249
ALBAY,LIBON,MAYOR,,"SACLAG, JAN",LAKAS,24737,126990
ALBAY,MALILIPOT,MAYOR,,"VOLANTE, CENON",LP,19028,124890
ALBAY,MALINAO,MAYOR,,"CAPUS, SHIE",LP,15163,124102
ALBAY,MANITO,MAYOR,,"ARIZAPA, JERRY",PDPLBN,11214,125150
ALBAY,OAS,MAYOR,,"TRINIDAD, JAN",NUP,22187,124370
ALBAY,PIO DURAN,MAYOR,,"CALLOPE, ITAY",NUP,16004,125943
ALBAY,POLANGUI,MAYOR,,"MELLA-SAMPAL, CHERRY",LAKAS,36736,124639
ALBAY,RAPU-RAPU,MAYOR,,"GALICIA, TOM",LAKAS,17000,127767
ALBAY,SANTO DOMINGO,MAYOR,,"BANDA, BONG",PFP,13688,126472
ALBAY,TIWI,MAYOR,,"VILLANUEVA, AMI",LP,19134,126208
ANTIQUE,ANINI-Y,MAYOR,,"POLLICAR, MAXFIL",NPC,6538,358116
ANTIQUE,BARBAZA,MAYOR,,"NECOR, GERRY",NPC,12553,354165
ANTIQUE,BELISON,MAYOR,,"PICCIO, TOPHER",AKSYON,4926,354723
ANTIQUE,BUGASONG,MAYOR,,"CONDEZ, VICTOR",NPC,10975,358399
ANTIQUE,CALUYA,MAYOR,,"LIM, NONOY RIGIL",NUP,18454,356412
ANTIQUE,CULASI,MAYOR,,"LOMUGDANG, JOJE",NPC,16638,356131
ANTIQUE,HAMTIC,MAYOR,,"PACIFICADOR, JUN JUN",PFP,20031,356981
ANTIQUE,LAUA-AN,MAYOR,,"ASOY, DOC NONONG",NPC,10551,354445
ANTIQUE,LIBERTAD,MAYOR,,"TE, BEBOT",NPC,6947,357550
ANTIQUE,PANDAN,MAYOR,,"SANCHEZ, JOHN",IND,14351,357269
ANTIQUE,PATNONGON,MAYOR,,"BACONGALLO, JOHNNYFLORES",NPC,12468,355003
ANTIQUE,SAN JOSE,MAYOR,,"UNTARAN, PJ",NPC,18098,356684
ANTIQUE,SAN REMIGIO,MAYOR,,"MISSION, MAR",NPC,13246,357833
ANTIQUE,SEBASTE,MAYOR,,"DIOSO, NATAN",IND,8635,353609
ANTIQUE,SIBALOM,MAYOR,,"OCCEÑA, GIAN CARLO",NPC,27642,353882
ANTIQUE,TIBIAO,MAYOR,,"LIM, BEBOK",NUP,8914,355581
ANTIQUE,TOBIAS FORNIER,MAYOR,,"TAJANLANGIT, TOTO ERNESTO",NPC,10319,355302
ANTIQUE,VALDERRAMA,MAYOR,,"POSADAS, JOY",NPC,9791,355856
