province,city,position,district,candidate_name,party,votes,rank
MAGUINDANAO DEL NORTE,KABUNTALAN,COUNCILOR,,"KUSAIN, JANJALANI",UBJP,10979,260238
MAGUINDANAO DEL NORTE,MATANOG,COUNCILOR,,"PANDI, MALIK",PFP,11287,262201
MAGUINDANAO DEL NORTE,NORTHERN KABUNTALAN,COUNCILOR,,"BAYAM, MARY JANE",UBJP,5854,260501
MAGUINDANAO DEL NORTE,PARANG,COUNCILOR,,"ABO, TALIB III",PFP,32582,263041
MAGUINDANAO DEL NORTE,SULTAN KUDARAT,COUNCILOR,,"ABDUL, SAMAN",PFP,44343,262469
MAGUINDANAO DEL NORTE,SULTAN MASTURA,COUNCILOR,,"ABDULHAMID, MAULANA",UBJP,5824,259641
MAGUINDANAO DEL NORTE,TALITAY,COUNCILOR,,"AMERIL, PINANG",UMP,4547,259950
MAGUINDANAO DEL NORTE,UPI,COUNCILOR,,"LIDASAN, SAIDIE",UBJP,16040,261882
MAGUINDANAO DEL SUR,AMPATUAN,COUNCILOR,,"SANGKI, SAMNON",NP,11808,269064
MAGUINDANAO DEL SUR,BULUAN,COUNCILOR,,"MANGUDADATU, BABYDATS",PFP,10853,271221
MAGUINDANAO DEL SUR,DATU ABDULLAH SANGKI,COUNCILOR,,"ABUTAZIL, AN-AN",ITIHAD,28731,270403
MAGUINDANAO DEL SUR,DATU ANGGAL MIDTIMBANG,COUNCILOR,,"MIDTIMBANG, DATUCOY",PFP,13792,273106
MAGUINDANAO DEL SUR,DATU HOFFER AMPATUAN,COUNCILOR,,"AMPATUAN-SAMAMA, BAI",PFP,7087,269602
MAGUINDANAO DEL SUR,DATU PAGLAS,COUNCILOR,,"DIMAPALAO, JERRY",NP,8767,273370
MAGUINDANAO DEL SUR,DATU PIANG,COUNCILOR,,"KAMAONG II, DATU DEDE",UBJP,4609,271763
MAGUINDANAO DEL SUR,DATU SAUDI AMPATUAN,COUNCILOR,,"DIMAUKOM, BAILON",UBJP,6894,270935
MAGUINDANAO DEL SUR,DATU UNSAY,COUNCILOR,,"AMPATUAN, BAI PAULA",AKSYON,9659,268506
MAGUINDANAO DEL SUR,GEN. S. K. PENDATUN,COUNCILOR,,"ALI, RAZUL",LAKAS,14792,272550
MAGUINDANAO DEL SUR,GUINDULUNGAN,COUNCILOR,,"GUIOMLA, MANAN",PFP,8529,270666
MAGUINDANAO DEL SUR,MAMASAPANO,COUNCILOR,,"AMPATUAN, BAI APPLE",LAKAS,12143,272027
MAGUINDANAO DEL SUR,MANGUDADATU,COUNCILOR,,"DILANGALEN, DATU PRINCE",PFP,11100,271486
MAGUINDANAO DEL SUR,PAGAGAWAN,COUNCILOR,,"MONTAWAL, TATA JOLICIES",NP,9436,270144
MAGUINDANAO DEL SUR,PAGALUNGAN,COUNCILOR,,"MAMASABULOD, SALIK",UBJP,21455,272301
MAGUINDANAO DEL SUR,PAGLAT,COUNCILOR,,"MANALAO, JOMARIE",UBJP,3956,268785
MAGUINDANAO DEL SUR,PANDAG,COUNCILOR,,"ABDULATIP, DHON",UMP,4819,269324
MAGUINDANAO DEL SUR,RAJAH BUAYAN,COUNCILOR,,"BADAL, RASHED",LAKAS,5046,272814
MAGUINDANAO DEL SUR,SHARIFF AGUAK,COUNCILOR,,"AGUAK, ABBY",NP,12862,269863
MARINDUQUE,BOAC,COUNCILOR,,"SOLOMON, NIC",PFP,17471,306301
MARINDUQUE,BUENAVISTA,COUNCILOR,,"NAVISA, MANDY",IND,7890,304981
MARINDUQUE,GASAN,COUNCILOR,,"MACUNAT, PASTOR RICK",ABC,12046,305238
MARINDUQUE,MOGPOG,COUNCILOR,,"SARILI, FRANK",PFP,8683,305774
MARINDUQUE,SANTA CRUZ,COUNCILOR,,"ROSALES, BUCHI",IND,16126,305513
MARINDUQUE,TORRIJOS,COUNCILOR,,"BRIONES, JESS",PFP,9532,306014
MASBATE,AROROY,COUNCILOR,,"SUGUITAO, ELLA",LAKAS,28070,129772
MASBATE,BALENO,COUNCILOR,,"LAURIO, SWEET",LAKAS,8990,129271
MASBATE,BALUD,COUNCILOR,,"LIM, CHING",LAKAS,11346,132782
MASBATE,BATUAN,COUNCILOR,,"YUSON, LALAINE",LAKAS,6425,129528
MASBATE,CATAINGAN,COUNCILOR,,"ADOPTANTE, SHARA",LAKAS,14899,128530
MASBATE,CAWAYAN,COUNCILOR,,"ABINUMAN, OYING",LAKAS,25004,130523
MASBATE,CITY OF MASBATE,COUNCILOR,,"ABELLA, ODIK",LAKAS,38153,130766
MASBATE,CLAVERIA,COUNCILOR,,"ALIM, DAKILA",LAKAS,8771,131022
MASBATE,DIMASALANG,COUNCILOR,,"CUEVAS, BGIN",LP,8014,131531
MASBATE,ESPERANZA,COUNCILOR,,"PEPITO, ASPHER",LAKAS,5862,128283
MASBATE,MANDAON,COUNCILOR,,"COJA, WIN-WIN",LAKAS,16561,132282
MASBATE,MILAGROS,COUNCILOR,,"MAGBALON, IVAN JOSE",LAKAS,14437,133293
MASBATE,MOBO,COUNCILOR,,"VITERBO, CHRISTIAN",IND,10770,133042
MASBATE,MONREAL,COUNCILOR,,"SAQUETON, ENGR GANI JR",PDPLBN,8480,132535
MASBATE,PALANAS,COUNCILOR,,"ALVAREZ, BUTSOY",LAKAS,11141,128768
MASBATE,PIO V. CORPUS,COUNCILOR,,"AVILA, PONGPONG",LAKAS,8392,131774
MASBATE,PLACER,COUNCILOR,,"LEPATAN, ILONAH",LAKAS,19250,132031
MASBATE,SAN FERNANDO,COUNCILOR,,"CAPARIÑO, NONIT",LAKAS,9261,129017
MASBATE,SAN JACINTO,COUNCILOR,,"DELAVIN, CHIN-CHIN",LAKAS,9694,130265
MASBATE,SAN PASCUAL,COUNCILOR,,"LAZARO, MAXIM",LAKAS,14698,130020
MASBATE,USON,COUNCILOR,,"SANCHEZ, DENEB ANN",LAKAS,17965,131279
MISAMIS OCCIDENTAL,ALORAN,COUNCILOR,,"CAWIT, BOY",ASPIN,12934,159833
MISAMIS OCCIDENTAL,BALIANGAO,COUNCILOR,,"SERENIO, NIKKI MARIE",ASPIN,7998,160604
MISAMIS OCCIDENTAL,BONIFACIO,COUNCILOR,,"ALJAS, GILBERT",ASPIN,14291,160336
MISAMIS OCCIDENTAL,CALAMBA,COUNCILOR,,"ENERIO, IAN",ASPIN,11598,158807
MISAMIS OCCIDENTAL,CITY OF OROQUIETA,COUNCILOR,,"GUANTERO, VINCENT",ASPIN,30693,161360
MISAMIS OCCIDENTAL,CITY OF OZAMIS,COUNCILOR,,"OAMINAL, SUNNY",ASPIN,76830,161107
MISAMIS OCCIDENTAL,CITY OF TANGUB,COUNCILOR,,"CHIONG, JOJO",ASPIN,29447,158553
MISAMIS OCCIDENTAL,CLARIN,COUNCILOR,,"BARRIENTOS, RENO",ASPIN,18612,160082
MISAMIS OCCIDENTAL,CONCEPCION,COUNCILOR,,"LOQUIAS, DODONG",ASPIN,2766,162125
MISAMIS OCCIDENTAL,DON VICTORIANO CHIONGBIAN,COUNCILOR,,"CADAY, JUNNIFER",ASPIN,4822,160852
MISAMIS OCCIDENTAL,JIMENEZ,COUNCILOR,,"CABUG, ROWNIL JAMES",ASPIN,10772,161611
MISAMIS OCCIDENTAL,LOPEZ JAENA,COUNCILOR,,"ACA-AC, HERMINIO",ASPIN,10816,161866
MISAMIS OCCIDENTAL,PANAON,COUNCILOR,,"JALAPIT, JUNIOR",ASPIN,5238,162374
MISAMIS OCCIDENTAL,PLARIDEL,COUNCILOR,,"ENGUITO, JOSE JR.",ASPIN,15127,159582
MISAMIS OCCIDENTAL,SAPANG DALAGA,COUNCILOR,,"ANIMAS, DEMMIE",ASPIN,10767,159056
MISAMIS OCCIDENTAL,SINACABAN,COUNCILOR,,"MERCADO, COYCOY",ASPIN,10159,162625
MISAMIS OCCIDENTAL,TUDELA,COUNCILOR,,"TAMPOOG, ROSITO JR.",ASPIN,13878,159333
MISAMIS ORIENTAL,ALUBIJID,COUNCILOR,,"DY, JOAR",LAKAS,10394,150065
MISAMIS ORIENTAL,BALINGASAG,COUNCILOR,,"MORENO-OCIONES, TEYENG",NUP,26033,152392
MISAMIS ORIENTAL,BALINGOAN,COUNCILOR,,"PADILLO, CACOY",LAKAS,5658,151877
MISAMIS ORIENTAL,BINUANGAN,COUNCILOR,,"BALAMAN, KRE-KRE",LAKAS,4485,149545
MISAMIS ORIENTAL,CITY OF CAGAYAN DE ORO,COUNCILOR,,"DAHINO, DES",PFP,108315,152643
MISAMIS ORIENTAL,CITY OF EL SALVADOR,COUNCILOR,,"NOBLE, JOHN MARC",LAKAS,22931,146703
MISAMIS ORIENTAL,CITY OF GINGOOG,COUNCILOR,,"CAÑOSA, EVELYN",LAKAS,58360,149816
MISAMIS ORIENTAL,CLAVERIA,COUNCILOR,,"BARROS, VAN YVES",LAKAS,17877,150590
MISAMIS ORIENTAL,GITAGUM,COUNCILOR,,"ANSIGBAT, SANTE",KNP,7822,148271
MISAMIS ORIENTAL,INITAO,COUNCILOR,,"JARALES, COKIE",LAKAS,13564,148517
MISAMIS ORIENTAL,JASAAN,COUNCILOR,,"CARREON, DIANNE",IND,18802,152140
MISAMIS ORIENTAL,KINOGUITAN,COUNCILOR,,"LAGBAS, GAGANG",NUP,6322,149028
MISAMIS ORIENTAL,LAGONGLONG,COUNCILOR,,"ACAO, KAISER",LAKAS,10327,150836
MISAMIS ORIENTAL,LAGUINDINGAN,COUNCILOR,,"OBSIOMA, DAM-DAM",LAKAS,12073,150329
MISAMIS ORIENTAL,LIBERTAD,COUNCILOR,,"ILLANA, REXCEL",NUP,5492,147743
MISAMIS ORIENTAL,LUGAIT,COUNCILOR,,"AGOSTO, JOY",LAKAS,7065,151110
MISAMIS ORIENTAL,MAGSAYSAY,COUNCILOR,,"ROXAS, JOJO",LAKAS,12689,151624
MISAMIS ORIENTAL,MANTICAO,COUNCILOR,,"MACACUA, JALIL",IND,13795,148772
MISAMIS ORIENTAL,MEDINA,COUNCILOR,,"BALINGIT, DANDAN",LAKAS,15951,148012
MISAMIS ORIENTAL,NAAWAN,COUNCILOR,,"ROA, JAIME",PDYN,9103,151362
MISAMIS ORIENTAL,OPOL,COUNCILOR,,"OTACAN, LOVE-LOVE",NUP,17796,153200
MISAMIS ORIENTAL,SALAY,COUNCILOR,,"AGNES, JOJO",NUP,11696,152930
MISAMIS ORIENTAL,SUGBONGCOGON,COUNCILOR,,"LAGBAS, TATA",LAKAS,5400,147489
MISAMIS ORIENTAL,TAGOLOAN,COUNCILOR,,"SULTAN, MIKKA",PDYN,30282,147220
MISAMIS ORIENTAL,TALISAYAN,COUNCILOR,,"ASUPAN, NIL",NUP,10571,146976
MISAMIS ORIENTAL,VILLANUEVA,COUNCILOR,,"CABRERA, ROBERT",NUP,11544,149283
MOUNTAIN PROVINCE,BARLIG,COUNCILOR,,"AWE, RODRIGO",IND,1812,283178
MOUNTAIN PROVINCE,BAUKO,COUNCILOR,,"PAKIPAC, ARCHIE",IND,10003,282385
MOUNTAIN PROVINCE,BESAO,COUNCILOR,,"YAPYAPAN, CHARLES",IND,2817,282634
MOUNTAIN PROVINCE,BONTOC,COUNCILOR,,"BACALA, GLENN",IND,7422,283707
MOUNTAIN PROVINCE,NATONIN,COUNCILOR,,"BAYOWAN, CHRISTOPHER",NP,2777,284246
MOUNTAIN PROVINCE,PARACELIS,COUNCILOR,,"BUCOK, ACE DAVE",IND,8917,282917
MOUNTAIN PROVINCE,SABANGAN,COUNCILOR,,"BALLAKIS, FAUSTO",PFP,3034,282108
MOUNTAIN PROVINCE,SADANGA,COUNCILOR,,"DAWADEO, DONGPOP",PFP,2412,283980
MOUNTAIN PROVINCE,SAGADA,COUNCILOR,,"DOMOGUEN, PAUL",IND,4140,283447
MOUNTAIN PROVINCE,TADIAN,COUNCILOR,,"KIDIT, JUNIPER",NP,5598,284522
NATIONAL CAPITAL REGION - FOURTH DISTRICT,CITY OF LAS PIÑAS,COUNCILOR,,"AGUILAR, ALELEE",NPC,71492,15970
NATIONAL CAPITAL REGION - FOURTH DISTRICT,CITY OF MAKATI,COUNCILOR,,"HILARIO, VIRJHONG",MKTZNU,96429,14879
NATIONAL CAPITAL REGION - FOURTH DISTRICT,CITY OF MUNTINLUPA,COUNCILOR,,"DIAZ, ALEXSON",1MUNTI,119086,15141
NATIONAL CAPITAL REGION - FOURTH DISTRICT,CITY OF PARAÑAQUE,COUNCILOR,,"GOLEZ, RICO",LAKAS,120222,14629
NATIONAL CAPITAL REGION - FOURTH DISTRICT,CITY OF TAGUIG,COUNCILOR,,"BERMAS, GIGI",NP,153345,15699
NATIONAL CAPITAL REGION - FOURTH DISTRICT,PASAY CITY,COUNCILOR,,"MAGAT, KHEN",PFP,70796,15418
NATIONAL CAPITAL REGION - FOURTH DISTRICT,PATEROS,COUNCILOR,,"DELA CRUZ, ALLAN",PFP,7428,14340
NATIONAL CAPITAL REGION - MANILA,CITY OF MANILA,COUNCILOR,,"DOMAGOSO, JOAQUIN",AKSYON,114593,12926
NATIONAL CAPITAL REGION - SECOND DISTRICT,CITY OF MANDALUYONG,COUNCILOR,,"ABALOS, CHARISSE",PFP,78830,16768
NATIONAL CAPITAL REGION - SECOND DISTRICT,CITY OF MARIKINA,COUNCILOR,,"FELICIANO, JAREN",NUP,83382,17351
NATIONAL CAPITAL REGION - SECOND DISTRICT,CITY OF PASIG,COUNCILOR,,"DE LEON, ANGELU-TGIS",IND,174041,16526
NATIONAL CAPITAL REGION - SECOND DISTRICT,CITY OF SAN JUAN,COUNCILOR,,"TAÑADA-YAM, FRANCO",PFP,24659,16271
NATIONAL CAPITAL REGION - SECOND DISTRICT,QUEZON CITY,COUNCILOR,,"BELMONTE, MIKEY",SBP,198502,17036
NATIONAL CAPITAL REGION - THIRD DISTRICT,CITY OF CALOOCAN,COUNCILOR,,"MALAPITAN, ENTENG",NP,177817,13564
NATIONAL CAPITAL REGION - THIRD DISTRICT,CITY OF MALABON,COUNCILOR,,"TORRES, MARICAR",NP,55525,13298
NATIONAL CAPITAL REGION - THIRD DISTRICT,CITY OF NAVOTAS,COUNCILOR,,"GERONIMO, CLINT",NVTEÑO,51188,14090
NATIONAL CAPITAL REGION - THIRD DISTRICT,CITY OF VALENZUELA,COUNCILOR,,"NATIVIDAD-BORJA, LORIE",NPC,134245,13847
NEGROS OCCIDENTAL,BINALBAGAN,COUNCILOR,,"TAJONERA, JOHN HENRY",LAKAS,20831,218918
NEGROS OCCIDENTAL,CALATRAVA,COUNCILOR,,"PALMA, KYLIE",NPC,30232,222553
NEGROS OCCIDENTAL,CANDONI,COUNCILOR,,"BORRIS, JOHN ERNEL",PFP,7044,221015
NEGROS OCCIDENTAL,CAUAYAN,COUNCILOR,,"JABAGAT, SAMMY",NPC,25276,220762
NEGROS OCCIDENTAL,CITY OF BACOLOD,COUNCILOR,,"DISTRITO, CAESAR",NPC,153377,219462
NEGROS OCCIDENTAL,CITY OF BAGO,COUNCILOR,,"JAVELLANA, VICOY",NUP,41464,218394
NEGROS OCCIDENTAL,CITY OF CADIZ,COUNCILOR,,"METODA, MARLON",LAKAS,41939,222052
NEGROS OCCIDENTAL,CITY OF ESCALANTE,COUNCILOR,,"ABONG-PASTOR, VIRGIE",NPC,32403,222292
NEGROS OCCIDENTAL,CITY OF HIMAMAYLAN,COUNCILOR,,"VASQUEZ, JULIE ANN",PFP,29049,221546
NEGROS OCCIDENTAL,CITY OF KABANKALAN,COUNCILOR,,"ZAYCO, ANNE MARIE",NPC,27894,219171
NEGROS OCCIDENTAL,CITY OF LA CARLOTA,COUNCILOR,,"ASISTIO, JULIUS MARTIN",NUP,20243,219991
NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA,COUNCILOR,,"PARCON, GILDA",PFP,25397,223316
NEGROS OCCIDENTAL,HINIGARAN,COUNCILOR,,"YULO, PAUL CHRISTOPHER",NPC,30522,221807
NEGROS OCCIDENTAL,HINOBA-AN,COUNCILOR,,"OCTAVIO, NONOY",PFP,20421,218658
NEGROS OCCIDENTAL,ILOG,COUNCILOR,,"CABRAL, RON",NPC,17811,220252
NEGROS OCCIDENTAL,ISABELA,COUNCILOR,,"VASQUEZ, NICO",LAKAS,21107,221288
NEGROS OCCIDENTAL,LA CASTELLANA,COUNCILOR,,"TIMBAD, PRITZ",UNEGA,18176,219749
NEGROS OCCIDENTAL,MANAPLA,COUNCILOR,,"BORLA, PRINCESS",LAKAS,18774,220505
NEGROS OCCIDENTAL,MOISES PADILLA,COUNCILOR,,"ALCONERA, SALLY",NPC,13657,222800
NEGROS OCCIDENTAL,MURCIA,COUNCILOR,,"GRAVINO, JR",NPC,31273,223065
NEGROS ORIENTAL,AMLAN,COUNCILOR,,"ORTEGA, ANNA MARIOT",NPC,9877,212642
NEGROS ORIENTAL,AYUNGON,COUNCILOR,,"OPADA, KIM",PFP,19022,210794
NEGROS ORIENTAL,BACONG,COUNCILOR,,"ZANISI, ELMA",LP,9642,213686
NEGROS ORIENTAL,BASAY,COUNCILOR,,"ABING, MIKLE VITO",LAKAS,10082,211304
NEGROS ORIENTAL,BINDOY,COUNCILOR,,"AMORGANDA, PAENG",PFP,15597,214459
NEGROS ORIENTAL,CITY OF BAIS,COUNCILOR,,"BOUFFARD, THIRDY",NPC,30589,210531
NEGROS ORIENTAL,CITY OF BAYAWAN,COUNCILOR,,"AURELIA, ABAYDAN",NPC,25926,211568
NEGROS ORIENTAL,CITY OF CANLAON,COUNCILOR,,"CARDENAS, INDAY JANE",NPC,21631,216581
NEGROS ORIENTAL,CITY OF DUMAGUETE,COUNCILOR,,"LAGAHIT, JASON",LAKAS,44918,214732
NEGROS ORIENTAL,CITY OF GUIHULNGAN,COUNCILOR,,"MIJARES, GINO",NP,27655,211856
NEGROS ORIENTAL,CITY OF TANJAY,COUNCILOR,,"GARA, ATTY. JIM TORRES",LP,19824,215272
NEGROS ORIENTAL,DAUIN,COUNCILOR,,"ALAR, JONAH",PFP,9129,211042
NEGROS ORIENTAL,JIMALALUD,COUNCILOR,,"GENTILES, ARCHIE",NPC,13397,215809
NEGROS ORIENTAL,LA LIBERTAD,COUNCILOR,,"SOLITANA, JAMES BRYAN",IND,17811,213158
NEGROS ORIENTAL,MABINAY,COUNCILOR,,"UY, KUYA EJ",LAKAS,30027,216072
NEGROS ORIENTAL,MANJUYOD,COUNCILOR,,"BALBON, HARMON",NPC,16413,212114
NEGROS ORIENTAL,PAMPLONA,COUNCILOR,,"LABE, ARNOLD",NPC,12873,214207
NEGROS ORIENTAL,SAN JOSE,COUNCILOR,,"RUIZ, SHEILA",NP,7197,213416
NEGROS ORIENTAL,SANTA CATALINA,COUNCILOR,,"NUICO, COCOY",NPC,18775,216330
NEGROS ORIENTAL,SIATON,COUNCILOR,,"ARBOLADO, BINGBING",IND,26282,213931
NEGROS ORIENTAL,SIBULAN,COUNCILOR,,"ABIERA, ATTY. DINO",LAKAS,23466,210257
NEGROS ORIENTAL,TAYASAN,COUNCILOR,,"ZUNIEGA, DODONG-OTIK",NPC,12864,212906
NEGROS ORIENTAL,VALENCIA,COUNCILOR,,"SALVORO, LOE",IND,13540,215553
NEGROS ORIENTAL,VALLEHERMOSO,COUNCILOR,,"GUSTILO, MONIKA",NPC,17540,212377
NEGROS ORIENTAL,ZAMBOANGUITA,COUNCILOR,,"DELMO, CHARLES",PFP,11831,214997
NORTHERN SAMAR,ALLEN,COUNCILOR,,"LIM, SONNY",PFP,10274,207159
NORTHERN SAMAR,BIRI,COUNCILOR,,"GARCIA, DAVE",TINGOG,5480,206376
NORTHERN SAMAR,BOBON,COUNCILOR,,"GEPOLLO, MYLENE",IND,7695,205862
NORTHERN SAMAR,CAPUL,COUNCILOR,,"AMPUAN, DANILO",NUP,4972,206113
NORTHERN SAMAR,CATARMAN,COUNCILOR,,"DACLAG, NERISSA",PFP,31146,208188
NORTHERN SAMAR,CATUBIG,COUNCILOR,,"CELAJES, TIRSO JR.",NUP,12320,205093
NORTHERN SAMAR,GAMAY,COUNCILOR,,"CAPOQUIAN, RAQUEL",NUP,9537,207671
NORTHERN SAMAR,LAOANG,COUNCILOR,,"TAN, FELIX",NUP,18510,209234
NORTHERN SAMAR,LAPINIG,COUNCILOR,,"GABILAN, ANALIZA",NUP,4696,209486
NORTHERN SAMAR,LAS NAVAS,COUNCILOR,,"BALDOZA, ARIEL",IND,12709,208705
NORTHERN SAMAR,LAVEZARES,COUNCILOR,,"OFIANA, SHIELA",NUP,11725,206901
NORTHERN SAMAR,MAPANAS,COUNCILOR,,"BORJA, CYRUS",NUP,6285,207410
NORTHERN SAMAR,MONDRAGON,COUNCILOR,,"CHIN, MELKY",IND,14094,206632
NORTHERN SAMAR,PALAPAG,COUNCILOR,,"RUBENECIA, BEAUTY",NUP,12978,209754
NORTHERN SAMAR,PAMBUJAN,COUNCILOR,,"BALANQUIT, DAISY",NUP,11266,205340
NORTHERN SAMAR,ROSARIO,COUNCILOR,,"TURING, CRISPIN JR.",PFP,4149,208458
NORTHERN SAMAR,SAN ANTONIO,COUNCILOR,,"MAHINAY, JULIUS DAN",NUP,3949,210004
NORTHERN SAMAR,SAN ISIDRO,COUNCILOR,,"TOMACAS, DODONG",NUP,9403,208971
NORTHERN SAMAR,SAN JOSE,COUNCILOR,,"BALASOLLA, VHIM",IND,6691,207934
NORTHERN SAMAR,SAN ROQUE,COUNCILOR,,"GALVEZ, GIO",NUP,10577,205606
NUEVA ECIJA,ALIAGA,COUNCILOR,,"MACALINAO, RUTH",SIGAW,22325,113520
NUEVA ECIJA,BONGABON,COUNCILOR,,"MOZO-RUZ, MYLENE",SIGAW,19563,114021
NUEVA ECIJA,CABIAO,COUNCILOR,,"UMALI, DANTE JR",PRP,29468,111215
NUEVA ECIJA,CARRANGLAN,COUNCILOR,,"ABAD, MARVIN",SIGAW,11061,108150
NUEVA ECIJA,CITY OF CABANATUAN,COUNCILOR,,"MATIAS, KUYA JOJO",PFP,101725,110437
NUEVA ECIJA,CITY OF GAPAN,COUNCILOR,,"BAUTISTA, JEFF",LAKAS,59941,108913
NUEVA ECIJA,CITY OF PALAYAN,COUNCILOR,,"MAGTALAS, ALVIN",NPC,18096,109174
NUEVA ECIJA,CUYAPO,COUNCILOR,,"CARBONEL, JOHN PAUL",AKAY,18566,112734
NUEVA ECIJA,GABALDON,COUNCILOR,,"GEDO CRUZ, MJ",PFP,11972,109424
NUEVA ECIJA,GENERAL MAMERTO NATIVIDAD,COUNCILOR,,"CRUZ, JULIUS",PFP,14257,107618
NUEVA ECIJA,GENERAL TINIO,COUNCILOR,,"BOTE, ANGELO",PFP,17755,108389
NUEVA ECIJA,GUIMBA,COUNCILOR,,"NATIVIDAD, KENT",SIGAW,32363,110947
NUEVA ECIJA,JAEN,COUNCILOR,,"BARIOGA, JIMMY",PMP,20047,108669
NUEVA ECIJA,LAUR,COUNCILOR,,"RIVERA, MYLENE",KLINGA,8366,107890
NUEVA ECIJA,LICAB,COUNCILOR,,"PUNO, JHE JHE",IND,8020,114534
NUEVA ECIJA,LLANERA,COUNCILOR,,"BUGAYONG, CHERRIE PIE",NUP,13481,114781
NUEVA ECIJA,LUPAO,COUNCILOR,,"BASCOS, JANO",SIGAW,13931,111710
NUEVA ECIJA,NAMPICUAN,COUNCILOR,,"PASCUAL, DEXTER",PFP,6281,110695
NUEVA ECIJA,PANTABANGAN,COUNCILOR,,"LACSINA, JAYVEE",PFP,10841,112227
NUEVA ECIJA,PEÑARANDA,COUNCILOR,,"RAMOS, AMIR",LAKAS,11753,111467
NUEVA ECIJA,QUEZON,COUNCILOR,,"HERMOSO, BORNOK",IND,11729,113766
NUEVA ECIJA,RIZAL,COUNCILOR,,"PLACIDO, GINO",NUP,16408,110189
NUEVA ECIJA,SAN ANTONIO,COUNCILOR,,"SALONGA, CARL",SIGAW,26705,115295
NUEVA ECIJA,SAN ISIDRO,COUNCILOR,,"BUNDOC, ARIEL KAP A",SIGAW,15138,107355
NUEVA ECIJA,SAN JOSE CITY,COUNCILOR,,"FELIMON, GLENDA",LAKAS,46658,112997
NUEVA ECIJA,SAN LEONARDO,COUNCILOR,,"NAGAÑO, POTON",SIGAW,17450,113257
NUEVA ECIJA,SANTA ROSA,COUNCILOR,,"ROMERO, ANTONIO",SIGAW,25407,112480
NUEVA ECIJA,SANTO DOMINGO,COUNCILOR,,"ANDRES, MAC",SIGAW,18018,109930
NUEVA ECIJA,SCIENCE CITY OF MUÑOZ,COUNCILOR,,"PACHECO, JUN",PELA,21623,109688
NUEVA ECIJA,TALAVERA,COUNCILOR,,"FAUSTO, MICHAEL",NPC,37567,111970
NUEVA ECIJA,TALUGTUG,COUNCILOR,,"CINENSE, EDWIN JR",SIGAW,7821,114273
NUEVA ECIJA,ZARAGOZA,COUNCILOR,,"REGALADO, TIN-TIN",PFP,16050,115051
NUEVA VIZCAYA,ALFONSO CASTANEDA,COUNCILOR,,"PONCIAN, SONNY",LAKAS,1915,223602
NUEVA VIZCAYA,AMBAGUIO,COUNCILOR,,"BALASO, MANDO",LAKAS,4443,225785
NUEVA VIZCAYA,ARITAO,COUNCILOR,,"GALINDEZ, ABC",LAKAS,12057,224679
NUEVA VIZCAYA,BAGABAG,COUNCILOR,,"BAYATAN, FRANCISCO JR.",PFP,7537,225503
NUEVA VIZCAYA,BAMBANG,COUNCILOR,,"BONUS, RICARDO",NP,15665,226875
NUEVA VIZCAYA,BAYOMBONG,COUNCILOR,,"NAVIS, SETH",LAKAS,14248,227437
NUEVA VIZCAYA,DIADI,COUNCILOR,,"MADUME, ROMELYN",NP,5732,226069
NUEVA VIZCAYA,DUPAX DEL NORTE,COUNCILOR,,"BALISI, JIMMY",AKSYON,9913,226334
NUEVA VIZCAYA,DUPAX DEL SUR,COUNCILOR,,"TINDAAN, EDWARD",NP,5652,225218
NUEVA VIZCAYA,KASIBU,COUNCILOR,,"ALLAGA, GEORGETTE",NP,11533,226599
NUEVA VIZCAYA,KAYAPA,COUNCILOR,,"DODON, ADRIANO",LAKAS,7290,224409
NUEVA VIZCAYA,QUEZON,COUNCILOR,,"BINWAG, DOLORES",NP,8271,223861
NUEVA VIZCAYA,SANTA FE,COUNCILOR,,"TIDANG, DELBERT",NP,5970,224945
NUEVA VIZCAYA,SOLANO,COUNCILOR,,"TITO, DOC CLIFFORD",LAKAS,13451,227165
NUEVA VIZCAYA,VILLAVERDE,COUNCILOR,,"MARIÑAS, JUN",PFP,5428,224142
OCCIDENTAL MINDORO,ABRA DE ILOG,COUNCILOR,,"RAMOS, MAYBELLE",LP,10745,313719
OCCIDENTAL MINDORO,CALINTAAN,COUNCILOR,,"LABRADOR, BONG",AKSYON,7251,314261
OCCIDENTAL MINDORO,LOOC,COUNCILOR,,"VALDERAS, BJ",PFP,2826,312931
OCCIDENTAL MINDORO,LUBANG,COUNCILOR,,"TABOR, MARITO",IND,4863,312666
OCCIDENTAL MINDORO,MAGSAYSAY,COUNCILOR,,"BONUS, EDMUND",PFP,13050,312396
OCCIDENTAL MINDORO,MAMBURAO,COUNCILOR,,"ABELEDA, YANNA",LP,11391,313972
OCCIDENTAL MINDORO,PALUAN,COUNCILOR,,"BAUTISTA, ROCHE",PFP,7384,313178
OCCIDENTAL MINDORO,RIZAL,COUNCILOR,,"GUEVARRA, JAN-JAN",NP,10300,313455
OCCIDENTAL MINDORO,SABLAYAN,COUNCILOR,,"ALVAREZ-LORENZO, CLARINDA",NUP,21167,311870
OCCIDENTAL MINDORO,SAN JOSE,COUNCILOR,,"CACAYORIN, ISMAEL",PFP,27503,314521
OCCIDENTAL MINDORO,SANTA CRUZ,COUNCILOR,,"PAGUAGAN, VINANG",PFP,8913,312144
ORIENTAL MINDORO,BACO,COUNCILOR,,"NAJITO, JAY",GSM,11703,315332
