region,province,city,position,district,candidate_name,party,votes,raw_position
REGION VI,AKLAN,NABAS,MAYOR,,"SOLANOY, JAMES",AKSYON,12041,MAYOR of AKLAN - NABAS
REGION VI,AKLAN,NEW WASHINGTON,MAYOR,,"FRANCISCO, SHIMONETTE",LP,14949,MAYOR of AKLAN - NEW WASHINGTON
REGION VI,AKLAN,NUMANCIA,MAYOR,,"ENERO, OGIE MORALES",PMP,12077,MAYOR of AKLAN - NUMANCIA
REGION VI,AKLAN,TANGALAN,MAYOR,,"FUENTES, GENE",NP,9374,MAYOR of AKLAN - TANGALAN
REGION V,ALBAY,BACACAY,MAYOR,,"BOMBALES, NOOKIE",LP,22887,MAYOR of ALBAY - BACACAY
REGION V,ALBAY,CAMALIG,MAYOR,,"BALDO, CALOY",LAKAS,24268,MAYOR of ALBAY - CAMALIG
REGION V,ALBAY,CITY OF LEGAZPI,MAYOR,,"ISMAIL, KAP HISHAM APG",LAKAS,68090,MAYOR of ALBAY - CITY OF LEGAZPI
REGION V,ALBAY,CITY OF LIGAO,MAYOR,,"GONZALEZ, FERNANDO",NUP,40058,MAYOR of ALBAY - CITY OF LIGAO
REGION V,ALBAY,CITY OF TABACO,MAYOR,,"BRAGAIS, REY",LAKAS,29498,MAYOR of ALBAY - CITY OF TABACO
REGION V,ALBAY,DARAGA,MAYOR,,"PERETE, VIC",PDPLBN,40578,MAYOR of ALBAY - DARAGA
REGION V,ALBAY,GUINOBATAN,MAYOR,,"ONGJOCO, ANN",NUP,28410,MAYOR of ALBAY - GUINOBATAN
REGION V,ALBAY,JOVELLAR,MAYOR,,"ARCANGEL, JOREM",NUP,5844,MAYOR of ALBAY - JOVELLAR
REGION V,ALBAY,LIBON,MAYOR,,"SAYSON, MAC",NUP,21541,MAYOR of ALBAY - LIBON
REGION V,ALBAY,MALILIPOT,MAYOR,,"VOLANTE, CENON",LP,19028,MAYOR of ALBAY - MALILIPOT
REGION V,ALBAY,MALINAO,MAYOR,,"CAPUS, SHIE",LP,15163,MAYOR of ALBAY - MALINAO
REGION V,ALBAY,MANITO,MAYOR,,"ARIZAPA, JERRY",PDPLBN,11214,MAYOR of ALBAY - MANITO
REGION V,ALBAY,OAS,MAYOR,,"TRINIDAD, JAN",NUP,22187,MAYOR of ALBAY - OAS
REGION V,ALBAY,PIO DURAN,MAYOR,,"ARANDIA, VANGIE",LAKAS,14321,MAYOR of ALBAY - PIO DURAN
REGION V,ALBAY,POLANGUI,MAYOR,,"SALCEDA, JESCIEL",LAKAS,31760,MAYOR of ALBAY - POLANGUI
REGION V,ALBAY,RAPU-RAPU,MAYOR,,"GALICIA, OTOY",LAKAS,16105,MAYOR of ALBAY - RAPU-RAPU
REGION V,ALBAY,SANTO DOMINGO,MAYOR,,"BANDA, BONG",PFP,13688,MAYOR of ALBAY - SANTO DOMINGO
REGION V,ALBAY,TIWI,MAYOR,,"CLIMACO, JOJO",LP,13889,MAYOR of ALBAY - TIWI
REGION VI,ANTIQUE,ANINI-Y,MAYOR,,"POLLICAR, RENE",NPC,5770,MAYOR of ANTIQUE - ANINI-Y
REGION VI,ANTIQUE,BARBAZA,MAYOR,,"NECOR, BOBBY",NPC,12329,MAYOR of ANTIQUE - BARBAZA
REGION VI,ANTIQUE,BELISON,MAYOR,,"PICCIO, TOPHER",AKSYON,4926,MAYOR of ANTIQUE - BELISON
REGION VI,ANTIQUE,BUGASONG,MAYOR,,"CONDEZ, VICTOR",NPC,10975,MAYOR of ANTIQUE - BUGASONG
REGION VI,ANTIQUE,CALUYA,MAYOR,,"LIM, NONOY RIGIL",NUP,18454,MAYOR of ANTIQUE - CALUYA
REGION VI,ANTIQUE,CULASI,MAYOR,,"LOMUGDANG, JOEL",NPC,12280,MAYOR of ANTIQUE - CULASI
REGION VI,ANTIQUE,HAMTIC,MAYOR,,"PACIFICADOR, JUN JUN",PFP,20031,MAYOR of ANTIQUE - HAMTIC
REGION VI,ANTIQUE,LAUA-AN,MAYOR,,"BALADJAY, ASER ONTOY",NPC,10401,MAYOR of ANTIQUE - LAUA-AN
REGION VI,ANTIQUE,LIBERTAD,MAYOR,,"LASERNA, MARIBETH",NPC,5032,MAYOR of ANTIQUE - LIBERTAD
REGION VI,ANTIQUE,PANDAN,MAYOR,,"ESTOPEREZ, TOMMY",NPC,12177,MAYOR of ANTIQUE - PANDAN
REGION VI,ANTIQUE,PATNONGON,MAYOR,,"BACONGALLO, JOHNNYFLORES",NPC,12468,MAYOR of ANTIQUE - PATNONGON
REGION VI,ANTIQUE,SAN JOSE,MAYOR,,"UNTARAN, PJ",NPC,18098,MAYOR of ANTIQUE - SAN JOSE
REGION VI,ANTIQUE,SAN REMIGIO,MAYOR,,"MISSION, MAR",NPC,13246,MAYOR of ANTIQUE - SAN REMIGIO
REGION VI,ANTIQUE,SEBASTE,MAYOR,,"PADPAD, JANUARY",NPC,6817,MAYOR of ANTIQUE - SEBASTE
REGION VI,ANTIQUE,SIBALOM,MAYOR,,"OCCEÑA, GIAN CARLO",NPC,27642,MAYOR of ANTIQUE - SIBALOM
REGION VI,ANTIQUE,TIBIAO,MAYOR,,"BANDOJA, WENG WENG",NPC,8668,MAYOR of ANTIQUE - TIBIAO
REGION VI,ANTIQUE,TOBIAS FORNIER,MAYOR,,"TAJANLANGIT, TOTO ERNESTO",NPC,10319,MAYOR of ANTIQUE - TOBIAS FORNIER
REGION VI,ANTIQUE,VALDERRAMA,MAYOR,,"POSADAS, JOY",NPC,9791,MAYOR of ANTIQUE - VALDERRAMA
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,MAYOR,,"BULUT, SHAMIR",NP,7608,MAYOR of APAYAO - CALANASAN
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CONNER,MAYOR,,"BAYAUA, JORICO",PFP,8930,MAYOR of APAYAO - CONNER
CORDILLERA ADMINISTRATIVE REGION,APAYAO,FLORA,MAYOR,,"BLAS, JEOFREY",LAKAS,5310,MAYOR of APAYAO - FLORA
CORDILLERA ADMINISTRATIVE REGION,APAYAO,KABUGAO,MAYOR,,"LIGWANG, BENSMAR",NPC,7014,MAYOR of APAYAO - KABUGAO
CORDILLERA ADMINISTRATIVE REGION,APAYAO,LUNA,MAYOR,,"GARDE, JANUARIO",LAKAS,6690,MAYOR of APAYAO - LUNA
CORDILLERA ADMINISTRATIVE REGION,APAYAO,PUDTOL,MAYOR,,"PASCUA, ATTY. EDMAR",NPC,5058,MAYOR of APAYAO - PUDTOL
CORDILLERA ADMINISTRATIVE REGION,APAYAO,SANTA MARCELA,MAYOR,,"MARTINEZ, EVELYN",LAKAS,6445,MAYOR of APAYAO - SANTA MARCELA
REGION III,AURORA,BALER,MAYOR,,"ANGARA, RHETT",LDP,19726,MAYOR of AURORA - BALER
REGION III,AURORA,CASIGURAN,MAYOR,,"SORIANO, ROY",LDP,11490,MAYOR of AURORA - CASIGURAN
REGION III,AURORA,DILASAG,MAYOR,,"AGUSTIN, ROMNER",LDP,4954,MAYOR of AURORA - DILASAG
REGION III,AURORA,DINALUNGAN,MAYOR,,"VARGAS, BIBOY",LDP,4184,MAYOR of AURORA - DINALUNGAN
REGION III,AURORA,DINGALAN,MAYOR,,"TAAY, AURORA",LDP,12697,MAYOR of AURORA - DINGALAN
REGION III,AURORA,DIPACULAO,MAYOR,,"TOLENTINO, DANNY",LDP,15496,MAYOR of AURORA - DIPACULAO
REGION III,AURORA,MARIA AURORA,MAYOR,,"BITONG, ARIEL",LDP,13477,MAYOR of AURORA - MARIA AURORA
REGION III,AURORA,SAN LUIS,MAYOR,,"DE JESUS, ARIEL",LDP,10725,MAYOR of AURORA - SAN LUIS
BARMM,BASILAN,AKBAR,MAYOR,,"SALI, ALIH",UBJP,6730,MAYOR of BASILAN - AKBAR
BARMM,BASILAN,AL-BARKA,MAYOR,,"LAJID, JAYDEEFAR",PFP,3713,MAYOR of BASILAN - AL-BARKA
BARMM,BASILAN,CITY OF ISABELA,MAYOR,,"HATAMAN, DADAH",BUP,31558,MAYOR of BASILAN - CITY OF ISABELA
BARMM,BASILAN,CITY OF LAMITAN,MAYOR,,"FURIGAY, ORIC",PFP,36438,MAYOR of BASILAN - CITY OF LAMITAN
BARMM,BASILAN,HADJI MOHAMMAD AJUL,MAYOR,,"PAWAKI, TALIB",PFP,9179,MAYOR of BASILAN - HADJI MOHAMMAD AJUL
BARMM,BASILAN,HADJI MUHTAMAD,MAYOR,,"NANOH, ARSINA",PFP,8518,MAYOR of BASILAN - HADJI MUHTAMAD
BARMM,BASILAN,LANTAWAN,MAYOR,,"ABUBAKAR, NASSER",PFP,14704,MAYOR of BASILAN - LANTAWAN
BARMM,BASILAN,MALUSO,MAYOR,,"HATAMAN, KAISER",PFP,15817,MAYOR of BASILAN - MALUSO
BARMM,BASILAN,SUMISIP,MAYOR,,"HATAMAN, JUL-ADNAN",PFP,16298,MAYOR of BASILAN - SUMISIP
BARMM,BASILAN,TABUAN-LASA,MAYOR,,"MANISAN, MONER",PFP,11859,MAYOR of BASILAN - TABUAN-LASA
BARMM,BASILAN,TIPO-TIPO,MAYOR,,"ISTARUL, INGATUN",PFP,9909,MAYOR of BASILAN - TIPO-TIPO
BARMM,BASILAN,TUBURAN,MAYOR,,"KALLAHAL, DURIE",BUP,6108,MAYOR of BASILAN - TUBURAN
BARMM,BASILAN,UNGKAYA PUKAN,MAYOR,,"MATURAN, JOMAR",PFP,6761,MAYOR of BASILAN - UNGKAYA PUKAN
REGION III,BATAAN,ABUCAY,MAYOR,,"MARTEL, ERIK",IND,13613,MAYOR of BATAAN - ABUCAY
REGION III,BATAAN,BAGAC,MAYOR,,"DEL ROSARIO, RON",PFP,17029,MAYOR of BATAAN - BAGAC
REGION III,BATAAN,CITY OF BALANGA,MAYOR,,"GARCIA, RAQUEL",PFP,54304,MAYOR of BATAAN - CITY OF BALANGA
REGION III,BATAAN,DINALUPIHAN,MAYOR,,"SANTOS, TONG",NUP,55620,MAYOR of BATAAN - DINALUPIHAN
REGION III,BATAAN,HERMOSA,MAYOR,,"INTON, ANNE LORRAINE",NUP,32599,MAYOR of BATAAN - HERMOSA
REGION III,BATAAN,LIMAY,MAYOR,,"DAVID, RICHIE",PFP,30171,MAYOR of BATAAN - LIMAY
REGION III,BATAAN,MARIVELES,MAYOR,,"CONCEPCION, KUYA AJ",NUP,47079,MAYOR of BATAAN - MARIVELES
REGION III,BATAAN,MORONG,MAYOR,,"LINAO-MUÑOZ, LEILA",NUP,12722,MAYOR of BATAAN - MORONG
REGION III,BATAAN,ORANI,MAYOR,,"ARIZAPA, JON",NP,32462,MAYOR of BATAAN - ORANI
REGION III,BATAAN,ORION,MAYOR,,"RAYMUNDO, TONY-PEP",PFP,19762,MAYOR of BATAAN - ORION
REGION III,BATAAN,PILAR,MAYOR,,"PIZARRO, CHARLIE",PFP,22267,MAYOR of BATAAN - PILAR
REGION III,BATAAN,SAMAL,MAYOR,,"ACUZAR, ALEX",PFP,20276,MAYOR of BATAAN - SAMAL
REGION II,BATANES,BASCO,MAYOR,,"CACCAM, MILO",PFP,2968,MAYOR of BATANES - BASCO
REGION II,BATANES,ITBAYAT,MAYOR,,"CULTURA, JOSEPH",IND,844,MAYOR of BATANES - ITBAYAT
REGION II,BATANES,IVANA,MAYOR,,"AGANA, JERRY",IND,562,MAYOR of BATANES - IVANA
REGION II,BATANES,MAHATAO,MAYOR,,"CARBA, JERONIMO",NPC,648,MAYOR of BATANES - MAHATAO
REGION II,BATANES,SABTANG,MAYOR,,"NEYALA, TITA",LP,665,MAYOR of BATANES - SABTANG
REGION II,BATANES,UYUGAN,MAYOR,,"CABUGAO, RICHARD",NPC,543,MAYOR of BATANES - UYUGAN
REGION IV-A,BATANGAS,AGONCILLO,MAYOR,,"REYES, ATTY. CINDY",NPC,13710,MAYOR of BATANGAS - AGONCILLO
REGION IV-A,BATANGAS,ALITAGTAG,MAYOR,,"PONGGOS, JO-ANN",NPC,12283,MAYOR of BATANGAS - ALITAGTAG
REGION IV-A,BATANGAS,BALAYAN,MAYOR,,"ERMITA, LISA",NPC,26847,MAYOR of BATANGAS - BALAYAN
REGION IV-A,BATANGAS,BALETE,MAYOR,,"MARALIT, WILSON",NP,9418,MAYOR of BATANGAS - BALETE
REGION IV-A,BATANGAS,BATANGAS CITY,MAYOR,,"MARIÑO, MARVEY",NP,116487,MAYOR of BATANGAS - BATANGAS CITY
REGION IV-A,BATANGAS,BAUAN,MAYOR,,"DOLOR, WENDAH KATRINA",NP,26380,MAYOR of BATANGAS - BAUAN
REGION IV-A,BATANGAS,CALATAGAN,MAYOR,,"PUNO, RICO",PFP,16822,MAYOR of BATANGAS - CALATAGAN
REGION IV-A,BATANGAS,CITY OF CALACA,MAYOR,,"ONA, NAS",NP,44253,MAYOR of BATANGAS - CITY OF CALACA
REGION IV-A,BATANGAS,CITY OF LIPA,MAYOR,,"AFRICA, ERIC",NP,194319,MAYOR of BATANGAS - CITY OF LIPA
REGION IV-A,BATANGAS,CITY OF STO. TOMAS,MAYOR,,"MARASIGAN, AJAM ARTH JHUN",NP,68583,MAYOR of BATANGAS - CITY OF STO. TOMAS
REGION IV-A,BATANGAS,CITY OF TANAUAN,MAYOR,,"COLLANTES, SONNY",NPC,64266,MAYOR of BATANGAS - CITY OF TANAUAN
REGION IV-A,BATANGAS,CUENCA,MAYOR,,"MAGPANTAY, ALEX",NPC,11938,MAYOR of BATANGAS - CUENCA
REGION IV-A,BATANGAS,IBAAN,MAYOR,,"CASAS, JANE",PRP,20880,MAYOR of BATANGAS - IBAAN
REGION IV-A,BATANGAS,LAUREL,MAYOR,,"BRUCE, LYNDON",NPC,17891,MAYOR of BATANGAS - LAUREL
REGION IV-A,BATANGAS,LEMERY,MAYOR,,"ALILIO, IAN KENNETH",NP,26413,MAYOR of BATANGAS - LEMERY
REGION IV-A,BATANGAS,LIAN,MAYOR,,"PEJI, JOSEPH",NP,26003,MAYOR of BATANGAS - LIAN
REGION IV-A,BATANGAS,LOBO,MAYOR,,"ALFILER, EMONG",LAKAS,12276,MAYOR of BATANGAS - LOBO
REGION IV-A,BATANGAS,MABINI,MAYOR,,"LUISTRO, NOEL BITRICS",PFP,21442,MAYOR of BATANGAS - MABINI
REGION IV-A,BATANGAS,MALVAR,MAYOR,,"ABU, ADMIRAL ART",PFP,16686,MAYOR of BATANGAS - MALVAR
REGION IV-A,BATANGAS,MATAASNAKAHOY,MAYOR,,"GARDIOLA-SILVA, ELLERY",NP,12326,MAYOR of BATANGAS - MATAAS NA KAHOY
REGION IV-A,BATANGAS,NASUGBU,MAYOR,,"BARCELON, ANTONIO JOSE",NPC,24319,MAYOR of BATANGAS - NASUGBU
REGION IV-A,BATANGAS,PADRE GARCIA,MAYOR,,"RIVERA, CELSA",LP,26800,MAYOR of BATANGAS - PADRE GARCIA
REGION IV-A,BATANGAS,ROSARIO,MAYOR,,"MORPE, KUYA LEOVY",NP,48249,MAYOR of BATANGAS - ROSARIO
REGION IV-A,BATANGAS,SAN JOSE,MAYOR,,"VIRTUCIO, KAPITANA REGGIE",NP,20413,MAYOR of BATANGAS - SAN JOSE
REGION IV-A,BATANGAS,SAN JUAN,MAYOR,,"SALUD, BEEBONG",NP,51772,MAYOR of BATANGAS - SAN JUAN
REGION IV-A,BATANGAS,SAN LUIS,MAYOR,,"HERNANDEZ, OSCARLITO",LAKAS,14854,MAYOR of BATANGAS - SAN LUIS
REGION IV-A,BATANGAS,SAN NICOLAS,MAYOR,,"DE SAGUN, LESTER",NPC,8562,MAYOR of BATANGAS - SAN NICOLAS
REGION IV-A,BATANGAS,SAN PASCUAL,MAYOR,,"CONTI, ROANNA",IND,19809,MAYOR of BATANGAS - SAN PASCUAL
REGION IV-A,BATANGAS,SANTA TERESITA,MAYOR,,"SEGUNIAL, NORBERTO JR.",NP,8998,MAYOR of BATANGAS - SANTA TERESITA
REGION IV-A,BATANGAS,TAAL,MAYOR,,"BAINTO, ATTY. NENE",PFP,23011,MAYOR of BATANGAS - TAAL
REGION IV-A,BATANGAS,TALISAY,MAYOR,,"NATANAUAN, NESTOR",NPC,16901,MAYOR of BATANGAS - TALISAY
REGION IV-A,BATANGAS,TAYSAN,MAYOR,,"VILLENA, DONG",PROMDI,7864,MAYOR of BATANGAS - TAYSAN
REGION IV-A,BATANGAS,TINGLOY,MAYOR,,"ALVAREZ, LARRY",IND,7173,MAYOR of BATANGAS - TINGLOY
REGION IV-A,BATANGAS,TUY,MAYOR,,"CERRADO, JOSE JECERELL",NPC,18906,MAYOR of BATANGAS - TUY
CORDILLERA ADMINISTRATIVE REGION,BENGUET,ATOK,MAYOR,,"SMITH, FRANKLIN",LAKAS,5776,MAYOR of BENGUET - ATOK
CORDILLERA ADMINISTRATIVE REGION,BENGUET,BAKUN,MAYOR,,"LABINIO, FAUSTO",IND,4746,MAYOR of BENGUET - BAKUN
CORDILLERA ADMINISTRATIVE REGION,BENGUET,BOKOD,MAYOR,,"IGNACIO, ERIK DONN",IND,4851,MAYOR of BENGUET - BOKOD
