Last Name,First Name,Middle Name,Title,Full Name,Position,Party,Year,Province,City,Region,Sex
MAMINTA,LORENA,ANGAD,,"MAMINTA, LORENA ANGAD",COUNCILOR,INDEPENDENT,2001,LANAO DEL SUR,DITSAAN-RAMAIN,,F
IBRAHIM,AMER JR.,TAGORANAO,,"IBRAHIM, AMER JR. TAGORANAO",COUNCILOR,INDEPENDENT,2001,LANAO DEL SUR,DITSAAN-RAMAIN,,M
SOLAIMAN,JASNOIRAH,TOROGANAN,,"SOLAIMAN, JASNOIRAH TOROGANAN",COUNCILOR,INDEPENDENT,2001,LANAO DEL SUR,DITSAAN-RAMAIN,,F
PANDAPATAN,CASMER,SAMPORNA,,"PANDAPATAN, CASMER SAMPORNA",COUNCILOR,INDEPENDENT,2001,LANAO DEL SUR,DITSAAN-RAMAIN,,M
AMPUAN,ABDULRAHMAN,ARIMAO,,"AMPUAN, ABDULRAHMAN ARIMAO",COUNCILOR,OMPIA,2001,LANAO DEL SUR,DITSAAN-RAMAIN,,M
PACATUA,TALIB,ADALIG,,"PACATUA, TALIB ADALIG",COUNCILOR,INDEPENDENT,2001,LANAO DEL SUR,DITSAAN-RAMAIN,,M
MACAPODI,BAGUIO,AMEROL,,"MACAPODI, BAGUIO AMEROL",MAYOR,PMP,2001,LANAO DEL SUR,GANASSI,,M
DIAMAEL,MUSTAPHA,POLAO,,"DIAMAEL, MUSTAPHA POLAO",VICE MAYOR,LAKAS NUCD-UMDP,2001,LANAO DEL SUR,GANASSI,,M
MACAINDIG,NASR.ODEN,SALIC,,"MACAINDIG, NASR.ODEN SALIC",COUNCILOR,PMP,2001,LANAO DEL SUR,GANASSI,,M
BALINDONG,ABDULLAH,IBRAHIM,,"BALINDONG, ABDULLAH IBRAHIM",COUNCILOR,PMP,2001,LANAO DEL SUR,GANASSI,,M
AMEROL,DARMANSA,OLAMA,,"AMEROL, DARMANSA OLAMA",COUNCILOR,LAKAS NUCD-UMDP,2001,LANAO DEL SUR,GANASSI,,M
GALMAN,ALINADER,MACABANGON,,"GALMAN, ALINADER MACABANGON",COUNCILOR,PMP,2001,LANAO DEL SUR,GANASSI,,F
MAROHOMSALIC,NASR.ODEN,DIANGKA,,"MAROHOMSALIC, NASR.ODEN DIANGKA",COUNCILOR,LAKAS NUCD-UMDP,2001,LANAO DEL SUR,GANASSI,,M
ALI,OTTO,CAMID,,"ALI, OTTO CAMID",COUNCILOR,LAKAS NUCD-UMDP,2001,LANAO DEL SUR,GANASSI,,M
ALI,HARON,MARANDACAN,,"ALI, HARON MARANDACAN",COUNCILOR,PMP,2001,LANAO DEL SUR,GANASSI,,M
MANGURUN,AMINOLLAH,ALI,,"MANGURUN, AMINOLLAH ALI",MAYOR,PMP,2001,LANAO DEL SUR,KAPAI,,M
LANTONG,H. IBRAHIM,CALAUTO,,"LANTONG, H. IBRAHIM CALAUTO",VICE MAYOR,PMP,2001,LANAO DEL SUR,KAPAI,,M
MAGLANGIT,RAIDA,BANSIL,,"MAGLANGIT, RAIDA BANSIL",MAYOR,PMP,2001,LANAO DEL SUR,KAPATAGAN,,F
MACABALANG,ARA,MINDALANO,,"MACABALANG, ARA MINDALANO",VICE MAYOR,PMP,2001,LANAO DEL SUR,KAPATAGAN,,M
INTERINO,KENNEDY,PAMPANG,,"INTERINO, KENNEDY PAMPANG",COUNCILOR,INDEPENDENT,2001,LANAO DEL SUR,KAPATAGAN,,M
AMPASO,BOOKANG,AMER,,"AMPASO, BOOKANG AMER",COUNCILOR,INDEPENDENT,2001,LANAO DEL SUR,KAPATAGAN,,M
PURUA,SINO,ABDULPHATA,,"PURUA, SINO ABDULPHATA",COUNCILOR,INDEPENDENT,2001,LANAO DEL SUR,KAPATAGAN,,M
INOG,GUILING,MAMINTING,,"INOG, GUILING MAMINTING",COUNCILOR,INDEPENDENT,2001,LANAO DEL SUR,KAPATAGAN,,M
ACMAD,TAGALOG,CASAM,,"ACMAD, TAGALOG CASAM",COUNCILOR,INDEPENDENT,2001,LANAO DEL SUR,KAPATAGAN,,M
KUDARAT,BEDIS,MALUNSAY,,"KUDARAT, BEDIS MALUNSAY",COUNCILOR,INDEPENDENT,2001,LANAO DEL SUR,KAPATAGAN,,M
BAGNUAS,MERO,ANDIG,,"BAGNUAS, MERO ANDIG",COUNCILOR,INDEPENDENT,2001,LANAO DEL SUR,KAPATAGAN,,M
MACOY,TAMBA,LANGI,,"MACOY, TAMBA LANGI",COUNCILOR,OMPIA,2001,LANAO DEL SUR,KAPATAGAN,,M
DAGALANGIT,MINDA,PANDAPATAN-NAMRI,,"DAGALANGIT, MINDA PANDAPATAN-NAMRI",MAYOR,LAMMP,2001,LANAO DEL SUR,LUMBA-BAYABAO,,F
PACOD,LINOGANAN,SANTOGARANAO,,"PACOD, LINOGANAN SANTOGARANAO",VICE MAYOR,INDEPENDENT,2001,LANAO DEL SUR,LUMBA-BAYABAO,,M
DIANATON,MANGATHA,SULATAN-LUCSO,,"DIANATON, MANGATHA SULATAN-LUCSO",COUNCILOR,INDEPENDENT,2001,LANAO DEL SUR,LUMBA-BAYABAO,,M
GUILING,MUAMAR,BENANSING,,"GUILING, MUAMAR BENANSING",COUNCILOR,INDEPENDENT,2001,LANAO DEL SUR,LUMBA-BAYABAO,,M
MONTE,BAGUINDA,MITMUG,,"MONTE, BAGUINDA MITMUG",COUNCILOR,INDEPENDENT,2001,LANAO DEL SUR,LUMBA-BAYABAO,,M
BATO,PARAMATA,BAGUL-ABUBACAR,,"BATO, PARAMATA BAGUL-ABUBACAR",COUNCILOR,INDEPENDENT,2001,LANAO DEL SUR,LUMBA-BAYABAO,,F
