year,region,province,city,position,candidate_name,party,votes
2013,armm,lanao-del-sur,bacolod-kalawi,"MEMBER, SANGGUNIANG BAYAN","AKERA, MACABANGKIT",OP,2
2013,armm,lanao-del-sur,bacolod-kalawi,"MEMBER, SANGGUNIANG BAYAN","BALI, JOHARY",IND,2
2013,armm,lanao-del-sur,bacolod-kalawi,"MEMBER, SANGGUNIANG BAYAN","POLAO, MOHAMMAD RAYZOLE",IND,1
2013,armm,lanao-del-sur,bacolod-kalawi,"MEMBER, SANGGUNIANG BAYAN","NOOR, ESMAIL",IND,1
2013,armm,lanao-del-sur,bacolod-kalawi,"MEMBER, SANGGUNIANG BAYAN","BATARA, ALEXANDAR",OP,1
2013,armm,lanao-del-sur,bacolod-kalawi,"MEMBER, SANGGUNIANG BAYAN","CAMID, ABDULLAH",IND,0
2013,armm,lanao-del-sur,bacolod-kalawi,"MEMBER, SANGGUNIANG BAYAN","SALAMONA, IBRAHIM",OP,0
2013,armm,lanao-del-sur,balabagan,MAYOR,"SAMPIANO, AMER",LP,4887
2013,armm,lanao-del-sur,balabagan,MAYOR,"BENITO, EDNA",IND,2342
2013,armm,lanao-del-sur,balabagan,MAYOR,"MAMENTING, COMARA",IND,57
2013,armm,lanao-del-sur,balabagan,MAYOR,"AYOB, ALEX",IND,34
2013,armm,lanao-del-sur,balabagan,MAYOR,"CAHAR, DISOMENDIG",IND,11
2013,armm,lanao-del-sur,balabagan,VICE-MAYOR,"SAMPIANO, QUIRINO",LP,3664
2013,armm,lanao-del-sur,balabagan,VICE-MAYOR,"ABDULLAH, SOMER",IND,1875
2013,armm,lanao-del-sur,balabagan,VICE-MAYOR,"OGCA, BILLY JACK",IND,1533
2013,armm,lanao-del-sur,balabagan,VICE-MAYOR,"SAMPIANO, ACMAD",IND,152
2013,armm,lanao-del-sur,balabagan,"MEMBER, SANGGUNIANG BAYAN","DISALONGAN, ABEDIN",IND,4197
2013,armm,lanao-del-sur,balabagan,"MEMBER, SANGGUNIANG BAYAN","MACASIRA, AMER",LP,4037
2013,armm,lanao-del-sur,balabagan,"MEMBER, SANGGUNIANG BAYAN","DISALONGAN, ACMAD",IND,3552
2013,armm,lanao-del-sur,balabagan,"MEMBER, SANGGUNIANG BAYAN","MAMENTING, MERVIN",LP,3532
2013,armm,lanao-del-sur,balabagan,"MEMBER, SANGGUNIANG BAYAN","AARON-MANGIGIN, PAMEN",LP,3466
2013,armm,lanao-del-sur,balabagan,"MEMBER, SANGGUNIANG BAYAN","SAMPIANO, SARIPADA",IND,3347
2013,armm,lanao-del-sur,balabagan,"MEMBER, SANGGUNIANG BAYAN","BENITO, JOVER",IND,3293
2013,armm,lanao-del-sur,balabagan,"MEMBER, SANGGUNIANG BAYAN","BILAO, JAIME",IND,2726
2013,armm,lanao-del-sur,balabagan,"MEMBER, SANGGUNIANG BAYAN","ABI, ANTHONY",PDP,2483
2013,armm,lanao-del-sur,balabagan,"MEMBER, SANGGUNIANG BAYAN","DIBARATUN, ACAL",IND,2301
2013,armm,lanao-del-sur,balabagan,"MEMBER, SANGGUNIANG BAYAN","PANAMBOLAN, HARON",LP,2243
2013,armm,lanao-del-sur,balabagan,"MEMBER, SANGGUNIANG BAYAN","TAMPOGAO, SALIC",IND,2187
2013,armm,lanao-del-sur,balabagan,"MEMBER, SANGGUNIANG BAYAN","MAMENTING, ACMAD",LP,2145
2013,armm,lanao-del-sur,balabagan,"MEMBER, SANGGUNIANG BAYAN","MORROW, BOLOTO",LP,1800
2013,armm,lanao-del-sur,balabagan,"MEMBER, SANGGUNIANG BAYAN","SOLAIMAN, MARGARITA",IND,1594
2013,armm,lanao-del-sur,balabagan,"MEMBER, SANGGUNIANG BAYAN","MACARAMPAT, EDRES",IND,1473
2013,armm,lanao-del-sur,balabagan,"MEMBER, SANGGUNIANG BAYAN","AMPATUA, SALEM",IND,1341
2013,armm,lanao-del-sur,balabagan,"MEMBER, SANGGUNIANG BAYAN","CABAÑA, MANUEL",PDP,981
2013,armm,lanao-del-sur,balabagan,"MEMBER, SANGGUNIANG BAYAN","OGKA, SORAIDA",IND,830
2013,armm,lanao-del-sur,balabagan,"MEMBER, SANGGUNIANG BAYAN","MINDAMDAG, OMBAY",IND,508
2013,armm,lanao-del-sur,balabagan,"MEMBER, SANGGUNIANG BAYAN","BUSRAN, ALMOHAMMED",IND,392
2013,armm,lanao-del-sur,balabagan,"MEMBER, SANGGUNIANG BAYAN","MAUTE, ALIMODEN",IND,221
2013,armm,lanao-del-sur,balabagan,"MEMBER, SANGGUNIANG BAYAN","SAMPIANO, MOMBAO",IND,206
2013,armm,lanao-del-sur,balabagan,"MEMBER, SANGGUNIANG BAYAN","BILAO, YASRIEB",IND,198
2013,armm,lanao-del-sur,balindong,MAYOR,"BAGUL-MANGONDATO, RAYSALAM",LP,7159
2013,armm,lanao-del-sur,balindong,MAYOR,"SARIP, ACMAD",OP,2047
2013,armm,lanao-del-sur,balindong,MAYOR,"MAPUPUNO, BASHIER",IND,760
2013,armm,lanao-del-sur,balindong,MAYOR,"MABA, ABUSAIF",PMP,496
2013,armm,lanao-del-sur,balindong,MAYOR,"MACAPAAR, ALLAN",PDP,21
2013,armm,lanao-del-sur,balindong,VICE-MAYOR,"MANALOCON, ABC",PDP,6223
2013,armm,lanao-del-sur,balindong,VICE-MAYOR,"SARIP, BOYET",IND,3835
2013,armm,lanao-del-sur,balindong,VICE-MAYOR,"TOMANONG, FATTAH",IND,206
2013,armm,lanao-del-sur,balindong,VICE-MAYOR,"MACAPAAR, NANDING",IND,81
2013,armm,lanao-del-sur,balindong,VICE-MAYOR,"RAMOS, LINDY",PDSP,75
2013,armm,lanao-del-sur,balindong,VICE-MAYOR,"PASAGI, ABDULGHANI",IND,40
2013,armm,lanao-del-sur,balindong,VICE-MAYOR,"RASHID DIMAPORO, JUNILE",IND,19
2013,armm,lanao-del-sur,balindong,"MEMBER, SANGGUNIANG BAYAN","LAWI, YASSER",LP,5718
2013,armm,lanao-del-sur,balindong,"MEMBER, SANGGUNIANG BAYAN","SARIP, SADAT",LP,5426
2013,armm,lanao-del-sur,balindong,"MEMBER, SANGGUNIANG BAYAN","DATU-RAMOS, KHOMEINY",LP,5388
2013,armm,lanao-del-sur,balindong,"MEMBER, SANGGUNIANG BAYAN","AYAON, MACAAYONG",LP,5387
2013,armm,lanao-del-sur,balindong,"MEMBER, SANGGUNIANG BAYAN","ALI, SALIC",LP,5333
2013,armm,lanao-del-sur,balindong,"MEMBER, SANGGUNIANG BAYAN","MABA, ABDULMOIZ",PMP,5208
2013,armm,lanao-del-sur,balindong,"MEMBER, SANGGUNIANG BAYAN","MAMARI, POPOY",IND,4975
2013,armm,lanao-del-sur,balindong,"MEMBER, SANGGUNIANG BAYAN","DANSAL, EBRAHIM",LP,4635
2013,armm,lanao-del-sur,balindong,"MEMBER, SANGGUNIANG BAYAN","GAURAKI, SOMIE",LP,4324
2013,armm,lanao-del-sur,balindong,"MEMBER, SANGGUNIANG BAYAN","PUNDOGAR, MICHAEL",IND,3994
2013,armm,lanao-del-sur,balindong,"MEMBER, SANGGUNIANG BAYAN","JAPAR, ABDUL-WARETH",IND,3829
