Year,Position,Last,Given,Sex
2004,COUNCILOR,TIRI,ROMEO,M
2004,COUNCILOR,ENCARNACION,RAUL,M
2004,MAYOR,CIUBAL,AMPARO,F
2004,VICE MAYOR,CABRERA,TIMOTEO,M
2004,COUNCILOR,CABANG,ORLANDO,M
2004,COUNCILOR,DELOS SANTOS,RODOLFO,M
2004,COUNCILOR,VERZOSA,CARMEN,F
2004,COUNCILOR,CALPITO,DARIO,M
2004,COUNCILOR,MONTANTE,RUBEN,M
2004,COUNCILOR,SAMBAJON,MARIO,M
2004,COUNCILOR,CALPITO,ISAIAS,M
2004,COUNCILOR,BARROGA,WENCESLAO,M
2004,MAYOR,ZARAGOZA,EDGARDO,M
2004,VICE MAYOR,COPIOZO,TERESO,M
2004,COUNCILOR,CABOTAGE,EMMA,F
2004,COUNCILOR,CACHOLA,RAFAEL,M
2004,COUNCILOR,CORRALES,JOSE,M
2004,COUNCILOR,TEJADA,MARGARITO,M
2004,COUNCILOR,POTENCION,OSCAR,M
2004,COUNCILOR,CABREROS,TEOFILO,M
2004,COUNCILOR,CABANILLA,ROSALINDA,F
2004,COUNCILOR,LIM,IRVIN,M
2004,MAYOR,ACIONG,JAIME,M
2004,VICE MAYOR,NIMO,ALLEN,M
2004,COUNCILOR,DULDULAO,ELMER,M
2004,COUNCILOR,LABIANG,ULDARICO,M
2004,COUNCILOR,PATIL-AO,CLIFFORD,M
2004,COUNCILOR,EL-I,ROBERT,M
2004,COUNCILOR,BUCAO,LUCAS,M
2004,COUNCILOR,GALLA,LEMUEL,M
2004,COUNCILOR,WANDAS,DANIEL,M
2004,COUNCILOR,ACIONG,JUDITH,F
2004,MAYOR,GIRONELLA,ROSARIO,F
2004,VICE MAYOR,GIRONELLA,LEOPOLDO,M
2004,COUNCILOR,NANG,SIMEON,M
2004,COUNCILOR,MONTA,JESUSA,F
2004,COUNCILOR,PACUDAN,MARIANO,M
2004,COUNCILOR,BITENG,ROGELIO,M
2004,COUNCILOR,GAMUEDA,ROGELIO,M
2004,COUNCILOR,GALLETA,DOMINADOR,M
2004,COUNCILOR,DALMACIO,AMANTE,M
2004,COUNCILOR,MANGLIOAN,ELIZABETH,F
2004,MAYOR,BRAGADO,LORENZO,M
2004,VICE MAYOR,BOLESA,RODRIGO,M
2004,COUNCILOR,SIBAEN,CORNELIO,M
2004,COUNCILOR,LAIS,MANASSEH,M
2004,COUNCILOR,FORONDA,ALEJANDRO,M
2004,COUNCILOR,BATAO-EY,CORPUS,M
2004,COUNCILOR,RAMIREZ,ELBANO,M
2004,COUNCILOR,TOMAS,RODRIGO,M
2004,COUNCILOR,SANGAAN,WILLY,M
2004,COUNCILOR,GALANG,JOSUE,M
2004,MAYOR,ABAD,ARMANDO,M
2004,VICE MAYOR,MENDOZA,NORMAN,M
2004,COUNCILOR,RAMIREZ,FLORENCIA,F
2004,COUNCILOR,CABALO,JOHNNY,M
2004,COUNCILOR,BALMACEDA,GEORGE,M
2004,COUNCILOR,ELECCION,JOSE,M
2004,COUNCILOR,TABILA,GODOFREDO,M
2004,COUNCILOR,ARREOLA,ROGELIO,M
2004,COUNCILOR,EALA,ARNOLD,M
2004,COUNCILOR,BENITEZ,SOLOMON,M
2004,MAYOR,PURISIMA,AMANTE,M
2004,VICE MAYOR,ROMANO,SALVADOR,M
2004,COUNCILOR,RAPIN,ANTONIO,M
2004,COUNCILOR,PISCO,PEDRITO,M
