year,region,province,city,position,area,candidate_name,party,votes
2010,armm,sulu,hadji-panglima-tahil,VICE-MAYOR,SULU - HADJI PANGLIMA TAHIL (MARUNGGAS),"GALIB, NASIA",LP,2541
2010,armm,sulu,hadji-panglima-tahil,"MEMBER, SANGGUNIANG BAYAN",SULU - HADJI PANGLIMA TAHIL (MARUNGGAS) - LONE DIST,"JILOH, RIDZMAL",LP,2458
2010,armm,sulu,hadji-panglima-tahil,"MEMBER, SANGGUNIANG BAYAN",SULU - HADJI PANGLIMA TAHIL (MARUNGGAS) - LONE DIST,"MASARIK, ABDUL",LP,2444
2010,armm,sulu,hadji-panglima-tahil,"MEMBER, SANGGUNIANG BAYAN",SULU - HADJI PANGLIMA TAHIL (MARUNGGAS) - LONE DIST,"HADJIRUL, AMIRUL",LP,2442
2010,armm,sulu,hadji-panglima-tahil,"MEMBER, SANGGUNIANG BAYAN",SULU - HADJI PANGLIMA TAHIL (MARUNGGAS) - LONE DIST,"ANNI, IDJAM",LP,2415
2010,armm,sulu,hadji-panglima-tahil,"MEMBER, SANGGUNIANG BAYAN",SULU - HADJI PANGLIMA TAHIL (MARUNGGAS) - LONE DIST,"HADJULANI, GHALIB",LP,2410
2010,armm,sulu,hadji-panglima-tahil,"MEMBER, SANGGUNIANG BAYAN",SULU - HADJI PANGLIMA TAHIL (MARUNGGAS) - LONE DIST,"MUSA, ABDULMUDIL",LP,2324
2010,armm,sulu,hadji-panglima-tahil,"MEMBER, SANGGUNIANG BAYAN",SULU - HADJI PANGLIMA TAHIL (MARUNGGAS) - LONE DIST,"SALI, ALMA",LP,2322
2010,armm,sulu,hadji-panglima-tahil,"MEMBER, SANGGUNIANG BAYAN",SULU - HADJI PANGLIMA TAHIL (MARUNGGAS) - LONE DIST,"MASARIK, PERUSA",LP,2321
2010,armm,sulu,jolo,MAYOR,SULU - JOLO,"AMIN, HUSSIN",LP,19066
2010,armm,sulu,jolo,MAYOR,SULU - JOLO,"ISMI, YUSOP",IND,4073
2010,armm,sulu,jolo,VICE-MAYOR,SULU - JOLO,"TAN, EDSIR",LP,18449
2010,armm,sulu,jolo,"MEMBER, SANGGUNIANG BAYAN",SULU - JOLO - LONE DIST,"TAN, KERKHAR",LP,14043
2010,armm,sulu,jolo,"MEMBER, SANGGUNIANG BAYAN",SULU - JOLO - LONE DIST,"TAN, EZZEDDIN SOUD",IND,13877
2010,armm,sulu,jolo,"MEMBER, SANGGUNIANG BAYAN",SULU - JOLO - LONE DIST,"AMIN, ABDEL RAZI",LP,12467
2010,armm,sulu,jolo,"MEMBER, SANGGUNIANG BAYAN",SULU - JOLO - LONE DIST,"AMILHAMJA, AHMED",LP,11242
2010,armm,sulu,jolo,"MEMBER, SANGGUNIANG BAYAN",SULU - JOLO - LONE DIST,"ALFAD, NURJAM",IND,10855
2010,armm,sulu,jolo,"MEMBER, SANGGUNIANG BAYAN",SULU - JOLO - LONE DIST,"RADJAIE, ABDULPATTA",LP,10031
